ID (do not change this column!),Input Date,Place,"Fictional, Personal, or Real",Anecdote from the text,Page #,Latitude,Longitude,Literary Text,Author(s),Notes. etc.,Contributor(s),"Misc. Links, etc.",Keywords (5 Minimum)
,Nov-16-2023,Las Grutas de Xtacumbilxuna,Real,"A picture of him looking very much like stone, police hooked on either arm … on the road to Las Grutas de Xtacumbilxuna, the Caves of the Hidden Girl … eleven female bodies … the last seven years …",40-41,19.83333,-89.76667,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,The news about 37 year old Chato got arrested,Genesis Esquilin,,
,Nov-17-2023,Ma’s house ,Personal,"In my ma’s house the plates were always stacked in the center of the table, the knives and forks and spoons standing in a jar, help yourself.",73,,,Woman Hollering Creek and Other Stories: Never Marry a Mexican,Sandra Cisneros,,Genesis Esquilin,,
,Nov-17-2023,Mexico City ,Real,"My father must’ve found the U.S. Mexicans very strange, so foreign from what he knew at home in Mexico City where the servant served watermelon on a plate with silverware and a cloth napkin, or mangos with their own special prongs.",74,19.432608,-99.133209,Woman Hollering Creek and Other Stories: Never Marry a Mexican,Sandra Cisneros,,Genesis Esquilin,,
,Nov-17-2023,Our Lady of Guadalupe Church,Real,"And hardware stores that still sold ostrich-feather dusters, and whole families marching out of Our Lady of Guadalupe Church on Sundays, girls in their swirly-whirly dresses and patent-leather shoes, boys in their dress Stacys and shiny shirts.",76,19.983709,", -102.281944",Woman Hollering Creek and Other Stories: Never Marry a Mexican,Sandra Cisneros,There are many Our Lady of Guadalupe churches so I'm not sure which specific location Clemencia is mentioning,Genesis Esquilin,,
,Dec-04-2023,Janey Ortiz's House,Personal,"""We’re going to walk over to
Janey Ortiz’s house and say We’re never ever going to be your friend
again forever!""",14,,,Woman Hollering Creek and Other Stories: My Lucy Friend Who Smells Like Corn,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Flea Market on Maxwell Street ,Real,"""And now there is a big fire
sale at Maxwell Street, today only.""",25,25.65134767,-100.3581249,Woman Hollering Creek and Other Stories: My Lucy Friend Who Smells Like Corn,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Toy Wearhouse on Halstead St and across Dan Ryan expressway,Real,"""Because a big toy warehouse on Halsted Street
burned down yesterday—see there?—the smoke still rising and
drifting across the Dan Ryan expressway.""",25,,,Woman Hollering Creek and Other Stories: My Lucy Friend Who Smells Like Corn,Sandra Cisneros,"Burned down, no long/lat to log",Layla Smith,,
,Dec-04-2023,La Divine Providencia,Real,"""We’re waiting for the awful grandmother who is inside dropping
pesos into la ofrenda box before the altar to La Divina Providencia.""",26,25.79851303,-100.2753173,Woman Hollering Creek and Other Stories: My Lucy Friend Who Smells Like Corn,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Bell Towers La Basiclica de Nuestra Senora,Real,"""When the sky of Tepeyac opens its first thin stars and the dark
comes down in an ink of Japanese blue above the bell towers of La
Basílica de Nuestra Señora.""",30,25.67518292,-100.3147058,Woman Hollering Creek and Other Stories: My Lucy Friend Who Smells Like Corn,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Tepeyac,Real,"""When the sky of Tepeyac opens its first thin stars and the dark
comes down in an ink of Japanese blue above the bell towers of La
Basílica de Nuestra Señora.""",30,25.65689949,-100.3152036,Woman Hollering Creek and Other Stories: My Lucy Friend Who Smells Like Corn,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Misterios and Cinco de Mayo,Real,"""first the one on Misterios""",30,19.47267204,-99.12465122,Woman Hollering Creek and Other Stories: My Lucy Friend Who Smells Like Corn,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,"Monclova, Coahuila",Real,"""Not like Monclova. Coahuila. Ugly.""",51,26.90764184,-101.4275486,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Seguin,Real,"""Seguín. She had liked the sound of it. Far away and lovely.""",51,29.56559087,-97.97117145,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Seguin Beer Company ,Real,""" He has a very important position in Seguin with, with … a beer company""",51,29.56978806,-97.96529255,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Seguin Cemetery,Real,"""Each Sunday la señora Dolores clipped the most beautiful of
these flowers and arranged them on three modest headstones at the
Seguin cemetery.""",53,29.56080595,-97.96185337,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Woman Hollering Creek,Real,"""The natives only knew the arroyo one crossed on the way to San
Antonio, and then once again on the way back, was called Woman
Hollering""",52,29.45373468,-98.1880492,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,San Antonio,Real,"""The natives only knew the arroyo one crossed on the way to San
Antonio, and then once again on the way back, was called Woman
Hollering""",59,29.42994165,-98.48581015,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Cash N Carry,Real,"""It’s a date, Felice. Thursday. At the Cash N Carry off I-10.""",60,29.50910263,-98.40126823,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Laredo,Real,"""And yes, they will drive all the way to Laredo to get her wedding
dress.""",51,27.50721294,-99.51220583,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Crystal City,Real,"""She ran off with King Kong Cárdenas, a
professional wrestler from Crystal City and a sweetie.""",60,28.67768198,-99.82718775,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023,Alamo,Real,"""Behind the Alamo, you can’t miss it.""",67,30.52947961,-97.81286752,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
,Dec-04-2023," Floore Country
Store in Helotes",Real,"I know her cousin Lerma, and we saw her just last week at the Floore Country Store in Helotes",66,29.57805817,-98.69061136,Woman Hollering Creek and Other Stories: Women Hollering Creek,Sandra Cisneros,,Layla Smith,,
