title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
Gospel For Those Who Must,Allison Davis,Davis,"The Leader
One lone bird,
Small and brown,
Singing in the morning
One clear note,

Singing to the high church-steeple
With its needle spire
Pointing to the infinite heaven,
Merging with the far blue sky,

In the fresh vigor of the morning
His one clear call,
Harsh, unvarying, but
Beautiful.

Oh, all sweeter, fuller singers,
All loud and busy noises of the mid-day
Drown his voice;

But in the quiet cool of dusk,
By the spire pointing to the far blue vault,
I hear him singing still,

Lonely
With his one unfaltering call,
Beautiful
With his one clear note
Following the spire.

Fighters
These of the coal-black faces
Confide low-voiced,—
Fisherman, washerwoman,
Quietly shutting themselves off
From the pool-room loafers.

Unbroken
By the salt spume of the sea,
Tight-lipped against the whispering fears of age,
He holds her laughing,

In his keen eyes the gleam of one who knows
He must endure all shifting winds, and hate
Of deep-embittered sons of slaving race, Must outreach
The hunger of insatiate women,
And broken nets at sea.

Her brave face
Softens with a smile,
And light of youth’s long hopes and passion,
Sunk away;—

But she has seasoned in her proper time
And grown to mellow laughter,
Strong
Like some far runner turning with new vigor
Home.

Now she is firm against
The tearings of untimely births,
And sweating steam of clothes;
Firm now, at last, against
The pleading smiles
Of brutal melancholy,
Rich-voiced men.

To All Negroes Everywhere
I know lone dwellers on a barren farm,
Who daily drink from acrid waters, rank
With yellow scum and sickening taste,—
Minerals from the dark, deep-hidden earth.

This bitterness they change for health and power,
And stomachs sweetened to their vulgar food,
And now no longer wish
A long draught from the cold, sweet well.
",July,1928,The Crisis,W.E.B. Du Bois,Free verse,male,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Allison_Davis_(anthropologist)
To Those Dead and Gone,Allison Davis,Davis,"Lie broken in the dark, cool loam
You still enrich, not with your force now,
But with your peace. You are a home
Where I return for wisdom, how

To know my own dark roots and this
Day’s newer race, a mute, mysterious
Past, whose shrouded sorrow is
A sign the fates have set us.

Nor are you as a past we scorn;
No mock was yours to us unknown.
We who to daily shame are born
Learn from you in whom our seed is sown.

But tragedy is more than token;
Here life and beauty lie frustrate,
As lie unnumbered broken
Races in the soil of every state.
",November,1927,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Allison_Davis_(anthropologist)
The Negro's Worth,Alonzo Milton Skrine,Skrine,"Who casts a slur on Negro worth, a stain on Negro fame?
Who dreads to own his Negro blood, or hear his Negro name?
Who scorns the warmth of Negro hearts [illegible] the clasp of Negro hands?
If he but shows his traitor's face, we [illegible] him where he stands.

The Negro's blood! Its crimson tide has watered hill and plain
Wherever there were wrongs to crush, or freemen's rights to gain.
No dastard thought, no cowardly fear his had it tamely by
When there were noble deeds to do [illegible] to die. 

The Negro's heart! The Negro's heart! God keeping pure and free
The fullness of its kindly thought its wealth of honest glee;
Its generous strength; its ardent faith; its uncomplaining trust;
Though every worshipped idol break and crumble into dust.

The Negro's hands! Ah, lift them up. made strong by honest toil.
The champion of the Civil War and of the Cuban soil:
Their battle swords they flash aloft, though death in front they see ;
The Negro's hands did valiant deeds tot brave Cuba free.

They bore the old flag bravely, and were there at Lincoln's call.
They stood beside the foremost rank, with the bravest of them all.
And when before the enemy's guns they held the Gray at bay —
O never could the Afric heart beat prouder than that day.

So if some proud Caucasian cavils at the darkness of your race,
Or speaks in scorn of Africa before her children's face,
Then lay aside the flag of truce, and denounce him where he stands 
For Negro's worth and Negro's fame were won by Negro's hands.


Published in Colored American Magazine, December 1900",December,1900,Colored American ,Walter W. Wallace,,male,"Civil War, Spanish-American War, Labor, Slavery, Progress and Racial Uplift",,Boston,Predom. Black,https://scalar.lehigh.edu/african-american-poetry-a-digital-anthology/charles-frederick-white-author-page
The Brave Son,Alston Burleigh,Burleigh,"A little boy, lost in his childish play,
Mid the deep'ning shades of the fading day,
Fancied the warrior he would be;
He scattered his foes with his wooden sword
And put to fight a mighty horde--
Ere he crept to his daddy's knee.
A soldier crawled o'er the death-stren plain,
And he uttered the name of his love, in vain,
As he stumbled over the crest;
He fought with the fierceness of dark despair
And drove the cowering for to his lair--
Ere he crept to his Father's breast. 
",March,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,World War I,,Boston,Predom. Black,
The Pool,Amedee Brun,Brun,"Translated by Jessie Fauset 
The lonely pool sleeps in the depth of the glade
At the foot of a slope which its beauty discloses;
And the whispering reeds make a rustling retreat
Which the stream lips or leaves as it wakes or reposes. 

The heather erects a dense rampart of green
To conceal the sweet tide which reflects in its deeps
The tops of tall trees, and this one labor done, 

Forgetting aught else, dreams and placidly sleeps. 
Now and then comes a bird—a blackcap or a swallow,
Which with its swift flight makes the mute, formless hollow
Of solitude ring with a shrill, plaintive sound. 

Its wings barely skim the pool drowsy with slumber,
Yet small, eager waves circling wide, without number,
Haste to die 'mid the pitying reeds grouped around. 
",September,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free verse,female,Carribean,,Boston,Predom. Black,https://en.wikipedia.org/wiki/Augustus_M._Hodges
Death,Angelina W. Grimke,Grimke,"When the lights blur out for thee and me,
And the black comes in with a sweep,
I wonder--will it mean life again,
Or sleep? ",March,1925,Opportunity,Charles S. Johnson,Quatrain,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
Dusk,Angelina W. Grimke,Grimke,"Twin stars through my purpling pane,
The shriveling husk
Of a yellowing moon on the wane,—",April,1924,Opportunity,Charles S. Johnson,Tercet,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
I Weep,Angelina W. Grimke,Grimke,"— — I weep — —
Not as the young do noisily,
Not as the aged rustily,
But quietly.
Drop by drop the great tears
Splash upon my hands,
And save you saw them shine,
You would not know",July,1924,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
Little Grey Dreams,Angelina W. Grimke,Grimke,"Little grey dreams,
I sit at the ocean’s edge,
At the grey ocean’s edge, 
With you in my lap.
I launch you, one by one,
    And one by one,
      Little grey dreams,
Under the grey, grey, clouds,
Out on the grey, grey, sea, 
You go sailing away, 
From my empty lap,
      Little grey dreams.
Sailing! Sailing!
Into the black,
At the horizon’s edge.",January,1924,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
The Black Finger,Angelina W. Grimke,Grimke,"I have just seen a most beautiful thing:
Slim and still
Against a golod, gold sky,
A straight, black cypress
Sensitive
Exquisitie
A black finger
Pointing upwards,
Why, beautiful still finger, are you black?
And why are you pointing upwards? ",November,1923,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
For the Candle Light,Angelina W. Grimke,Grimke,"The sky was blue, so blue,
that day, And each daisy white, so white;
Oh! I knew that no more could
rains fall gray, And night again be night.
I knew! I knew! Well, if night is night,
And the gray skies grayly cry,
I have in a book, for the candle light,
A daisy, dead and dry.",September,1925,Opportunity,Charles S. Johnson,,female,,Caroling Dusk ,New York,Predom. Black,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
The Black Finger,Angelina W. Grimke,Grimke,"I have just seen a most beautiful thing
Slim and still,
Against a gold, gold sky,
A straight black cypress,
Sensitive,
Exquisite,
A black finger
Pointing upwards.
Why, beautiful still finger, are you black?
And why are you pointing upwards?",March,1925,Survey Graphic,Alain Locke,Free Verse,female,Race: Black Beauty,The New Negro,New York,Predom. White,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
Trees (1928),Angelina W. Grimke,Grimke,"God made them very beautiful, the trees:
He spoke and gnarled of bole or silken sleek
They grew; majestic browed or very meek;
Huge-bodied, slim; sedate and full of glees.
And He had pleasure deep in all of these.
And to them, soft and little tongues to speak
Of Him to us, He gave; wherefore they seek
From dawn to dawn to bring us to our knees.
* * * *
Yet here amid the wistful sounds of leaves,
A black-hued grewsome something swings and swings
Laughter it knew and joy in little things,
Till man's hate ended all. —And so man weaves.
And God, how slow, how very slow weaves He—
Was Christ Himself not nailed to a tree?",May,1928,The Carolina Magazine,Lewis Alexander,Sonnet,female,Lynching and Racialized Violence,,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
Paradox (1927),Angelina W. Grimke,Grimke,"WHEN face to face we stand
   And eye to eye,
How far apart we are —
As far, they say, as God can ever be
From what, they say, is Hell.
But, when we stand
Fronting the other,
Mile after mile slipping in between,
O, close we are,
As close as is the shadow to the body,
As breath, to life, ........
As kisses are to love.",May,1927,The Carolina Magazine,Lewis Alexander,,female,,Caroling Dusk,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
Under the Days (1927),Angelina W. Grimke,Grimke,"The days fall upon me;
One by one, they fall,
Like leaves. . . .
They are black,
They are grey.
They are white;
They are shot through with gold and fire.
They fall,
They fall
Ceaselessly.
They cover me,
They crush,
They smother.
Who will ever find me
Under the days? ",May,1927,The Carolina Magazine,Lewis Alexander,,female,,,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
To the Dunbar High School ,Angelina W. Grimke,Grimke,"And she shall be the friend of youth for aye;
Of quick'ning youth whose eyes have seen the gleam;
Of youth between whose tears and laughter stream
Bright bows of hope; of youth, audacious, gay
Who dares to know himself a Caesar, say,
A Shakespeare or a Galahad. The dream
To him is real: and things are as they seem,
For Beauty veils from him the feet of clay.

How holy and how wonderful her trust--
Youth's friend--and yes, how blest. For down the west
Each day shall go to the sun, and time in time
Shall die, the unborn shall again be dust;
But she with youth eternal on her breast,
Immortal, too, shall sit serene, sublime. 
",July,1917,The Crisis,W.E.B. Du Bois,Sonnet,female,"Paul Laurence Dunbar, Intertext",,Boston,Predom. Black,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
To Keep The Memory of Charlotte Forten Grimke,Angelina W. Grimke,Grimke,"Still are there wonders of the dark and day:
   The muted shrilling of shy things at night,
      So small beneath the stars and moon;
   The peace, dream-frail, but perfect while the light
      Lies softly on the leaves at noon.
         These are, and these will be
             Until eternity;
But she who loved them well has gone away.

Each dawn, while yet the east is veiléd grey,
   The birds about her window wake and sing;
      And far away, each day, some lark
   I know is singing where the grasses swing;
      Some robin calls and calls at dark.
         These are, and these will be
             Until eternity;
But she who loved them well has gone away.

The wild flowers that she loved down green ways stray;
   Her roses lift their wistful buds at dawn,
      But not for eyes that loved them best;
   Only her little pansies are all gone,
      Some lying softly on her breast.
         And flowers will bud and be
             Until eternity;
But she who loved them well has gone away.

Where has she gone? And who is there to say?
   But this we know: her gentle spirit moves
      And is where beauty never wanes,
   Perchance by other streams, mid other groves;
      And to us there, ah! she remains
         A lovely memory
             Until eternity;
She came, she loved, and then she went away.
",January,1915,The Crisis,W.E.B. Du Bois,Elegy,female,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
To Clarissa Scott Delany,Angeline W. Grimke,Grimke,"1
She has not found herself a hard pillow
   And a long hard bed,
A chilling cypress, a wan willow
   For her gay young head... 
   These are for the dead.
                           
2
Does the violet-lidded twilight die
   And the piercing dawn
And the white clear moon and the night- blue sky. . .
   When they are gone?
3
Does the shimmering note
In the shy, shy throat
Of the swaying bird?
4
O, does children's laughter
Live not after
It is heard?
5
Does the dear, dear shine upon dear, dear things,
In the eyes, on the hair,
On waters, on wings .
Live no more anywhere?
6
Does the tang of the sea, the breath of frail flowers,
   Of fern crushed, of clover,
Of grasses at dark, of the earth after showers
   Not linger, not hover?
7
Does the beryl in tarns, the soft orchid in haze,
The primrose through tree-tops, the unclouded jade
Of the north sky, all earth's flamings and russets and grays
   Simply smudge out and fade?
8
And all loveliness, all sweetness, all grace,
All the gay questing, all wonder, all dreaming,
They that cup beauty that veiled opaled vase,
Are they only the soul of a seeming?
9
O, hasn't she found just a little, thin door
And passed through and closed it between?
O, aren't those her light feet upon that light floor,
... That her laughter? . . . O, doesn't she lean
As we do to listen? . . . O, doesn't it mean
   She is only unseen, unseen?",December,1927,Ebony and Topaz,Charles S. Johnson,,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Angelina_Weld_Grimk%C3%A9
Definition,Anita Scott Coleman,Coleman,"Night is a velvet cloak
Wrapped ’round a gay Lothario;
Day is a flash-light
In the hand of a prude.",November,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Quatrain,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Anita_Scott_Coleman
Wash Day,Anita Scott Coleman,Coleman,"The rain has hung her washing out
The earth is cool and dry
Dirty faces are descried in silver pools
Of water as men go by.",April,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Quatrain,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Anita_Scott_Coleman
The Colorist,Anita Scott Coleman,Coleman,"God is an Indian--He loves gay color so . . . 
Red, yellow, purple, oranges and blue
Are in the sky at sunset; at the sunrise, too.
God is Irish--He likes green color best.
All the trees and grasses in green garments oft-times dress.
God is Saxon, stern and cold. 
For snow is white and ice is cold.
The downy clouds are white. And a 
White moon peeks; when lovers pledge their truth.
Cotton is white and snowy lambkin's fleece.

God is African--for night is robed in black.
The twinkling stars are black men's eyes. 
The black clouds, tempests tell.
While little seeds of flowers birthed are
Tans and brown and black. . . . 
",May,1925,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free verse,female,Religion,,Boston,Predom. Black,https://en.wikipedia.org/wiki/Anita_Scott_Coleman
Raise the Pullmen Men,Ann Lawrence,Lawrence,"The Pullman porters need a raise,
Yes, siree!
These men behind it deserve praise,
Take it from me,
Everyone should fall in line,
Boost the movement,
Yell it's fine!
More money for them Pullman boys
All along the line.
They scare make a living wage
As things stand.
A raise, regardless of the age
We now demand.
These are a loyal bunch of men,
They serve us all now and then,
So yell, 'More pay,'
Yell it again
For the Pullman men.",December,1925,The Messenger,"A. Philip Randolph, Chandler Owen",,female,Labor,,New York,Predom. Black,
New York,Ann Lawrence,Lawrence,"New York with her ""hustle,""
Her ""hurry"" and ""bustle,""'
The ""Horrid Old Subway"" and ""El,""
Her ""Miserable housing,""
Her ""Midnight carousing""
And ""Everyone headed for h–l,""
Is better than Russia,
Or Hindu, or Chin,
And in spite of it all, I'll be d–d
There is nobody leaving,
Those away are grieving,
They want to come back and be jammed!",April,1928,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",,female,New York,,New York,Predom. Black,
The Messenger,Ann Lawrence,Lawrence,"We are the Messenger,
Our message brings you cheer ;
Faint not, the goal's in sight,
Your Victory is near.
Our message brings you hope,
The blue is in your skies,
Take courage, Ethiopia's Sons,
Your star is yet to rise.
Our message brings you Joy,
Forget the bitter sorrow
Of Slavery's taint of yesterday,
For Lo! There is-Tomorrow.
Our message comes in answer
To ""Their"" call of long ago,
For Freedom and Intelligence,
To down the wicked foe.
Our message is your reaping,
Oppression's sway must cease.
Intelligence is our passport
To Equal rights and peace. ",March,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,Progress and Racial Uplift,,New York,Predom. Black,
Nature,Ann Lawrence,Lawrence,"Hark! 'tis the whispering pine trees,
They sigh as the pine burrs fall,
List! To the woodland echo,
The first young robin's call.
List! To the murmuring waters,
To the tide as it comes and goes;
There is rest in the sacred silence,
Where the rippling water flows.
Go find a spot in the forest,
Covered with Nature's green sod ;
Hark! Mother Earth gently whispers
""Man is Himself and his God!""",May,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,Religion,,New York,Predom. Black,
Procrastination,Ann Lawrence,Lawrence,"Why wait for tomorrow
To shed sun shine on the way?
Why wait to lighten sorrows,
For the coming of a day?
Why wait for a confessing,
Of a wrong that you have done?
Go and receive a blessing,
'Ere the setting of the sun.
While Yesterday was once Today,
For Joy, or for Sorrow;
We do not know, we cannot say-
To-day will be To-morrow!",October,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
