title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
In My Garden,William Stanley Braithwaite,Braithwaite,"Today 'tis sunny June, the breeze is soft
   And pauses sweetly dying where I sit,
Here in my dear old garden where aloft
   The tuneful birds about me sing and flit.

And here today no longing breaks my calm .
  No mad desire fraught with ceaseless strife ,
For roses, lilies, aloe-balls have balm
   To sooth away the harsher thoughts of life.

This is the place to doze and sink to dreams
   As all the while the roses bud and bloom,
And sweet birds warble, and the murmuring streams.
   And honeyed bees blend in harmonious tune.

So here today this fresh green June is sweet,
   And in my garden dreaming o'er and o'er
I drowse beneath its perfume and its heat
   And fill my heart full of sweet nature's lore. ",June,1901,Colored American,Walter W. Wallace,Common Measure,male,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/William_Stanley_Braithwaite,,,,,,,,,,,,,,,,,
June,William Stanley Braithwaite,Braithwaite,"Again when nature glows
   With a sweet smile of tender rirent bloom;
And when the fragrant rose
   Makes ordorous the air with its perfume;

The happy June descends
   Amid us, with her softly warbling birds,
Whose winging concert blends
   Euphonious, sounds too full and sweet for words. ",June,1901,Colored American,Walter W. Wallace,Common Measure,male,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/William_Stanley_Braithwaite,,,,,,,,,,,,,,,,,
A Little World,William Stanley Braithwaite,Braithwaite,"Dear one, when we are wed in happy bliss,
   When cares and heart -aches from our lives are gone ,
No bitter strife will stoop our souls to kiss
   For peace from mated love will then be born .

A little world made up of you and I—
   We two a whole creation , soul and heart ,
Where I will be as sun in June's soft sky ,
   And thou the moon , our world's serener part .

And in our world of love will be no drouth ;
   The hours will be as flowers , fair and sweet ;
Kissed ever by soft breezes from the south
   Low-winnowed with bird songs for lovers meet .",September,1901,Colored American ,Walter W. Wallace,Common Measure,male,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/William_Stanley_Braithwaite,,,,,,,,,,,,,,,,,
A Leave Taking,William Stanley Braithwaite,Braithwaite,"Love one word more
Before you go—
Some sweet, sad thing
Remembering ,
Alas, to know---
Some hope you fed, some glance you gave,
Dead, now in Love's deep grave.

So speak, and then depart,
And I will keep
The best of you forever in my heart .
All else shall sleep
As if Death came and taught me to forget .
All but the best,
That your loved memory live
In my sad breast. ",September,1901,Colored American,Walter W. Wallace,,male,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/William_Stanley_Braithwaite,,,,,,,,,,,,,,,,,
Two on the Cliffs,William Stanley Braithwaite,Braithwaite,"Two on the cliffs by the purple sea,
With the waves unbound and the sea -winds free;
Wound in the mesh of its sobbing tone.
And the tangling swirl of the sun-kissed foam .
Two hand in hand by the glad, old sea,
With but one sweet dream for you and me.

The sea's soft sigh on reef and shore,
Two hearts keep rythm for ever more,
Blue of the sea and the sky are one,
And two hearts beating in unison.
O rhyme of the ages, sweep of the sea,
And two souls thrall'd in its mystery.",September,1901,Colored American,Walter W. Wallace,,male,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/William_Stanley_Braithwaite,,,,,,,,,,,,,,,,,
Easter Day,William Stanley Braithwaite,Braithwaite,"Today I woke and looked upon the heath
   And odorous breath
Of lilies, and the sweet geranium,
   With the low hum

Of birds, spoke softly to my ears and said :
   ""He who was dead
Lives once again — He rose 'twixt day and night
   In samite white.

And all the morn grew flush'd in subtle bloom;
   All death's sad gloom
Vanished; and joy, as when His foot touched earth
   Sprang into birth.""

Then one did seem to stand in field nearby,
   And loudly cry:
""Step blithely midst the flow'rs, for I am He
   Of Calvary.

And when thou, too, hast borne thy cross thro' life,
   And won the strife ,
Like me, shalt thou emerge from death and rise
   With this great prize:

""Life's raiment cleansed with precious blood of mine;
   And radiant shine
Beside my Father's throne, three lilies in thine hair,
   As crown shalt wear.""",April,1901,Colored American ,Walter W. Wallace,,male,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/William_Stanley_Braithwaite,,,,,,,,,,,,,,,,,
To Beatrice,William Stanley Braithwaite,Braithwaite,"The tender notes of Philomel
   Heard far in the star -lit woods ,
Are not so sweetly audible
   As the music of thy moods .
The hue of the woodland lily
   By the verge of the forest pool ,
Glows not with such chaste, sweet beauty
   As thy pure and gracious soul.

As the nightingale sings of the rose,
   So my heart sings ofthee
As the moon in the garden glows
   So glows thy soul to me.
As heart to heart inclines
   When Love's sweet skies are blue,
So Beatrice, my soul divines
That my love is all for you!",September,1901,Colored American ,Walter W. Wallace,,male,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/William_Stanley_Braithwaite,,,,,,,,,,,,,,,,,
The Bells of Notre Dame,Benjamin Griffith Brawley,Brawley,"Far up in the cathedral, so they tell ,
   There lived the lonely hunch-back all day long
   No thought but of the church -bells, great and strong,
And deaf but feeling full the chorus swell:—
'Tis holiday! O! come! my Gabrielle!
   And all the rest of ye, pour out your song!
   Why stand ye idle, lagging there? Ding! dong!
O! Thibauld, sound your deep, reverberant cell!
O! Sparrows, yield the sweetness that ye bring!
   O! Pasquier, forth your piping music hurl
      To th' multitude below, and all earth fill!
Awake! awake! awake to life and sing!
   But lo! behold ! she comes, the dancing girl!
      The ringer's heart leaps, but the bells are still .",November,1901,Colored American,Walter W. Wallace,Sonnet,male,Intertext,,Boston,Predom. Black,https://en.wikipedia.org/wiki/Benjamin_Griffith_Brawley,,,,,,,,,,,,,,,,,
Prayer-Bells,Benjamin Griffith Brawley,Brawley,"When with itself the soul communion holds ,
   And speaks none other than itself and God ;
   When in the silence it doth grope and plod—
Its way thick dark till God his thoughts unfolds ;
When like unto himself the Maker molds
   Us more and more , and all the selfish clod
   Of sin recedes to ways now long since trod—
Then, when the better -self the whole enfolds ,
How sweet the distant pealing of the bells ,
   Far -sounding , whose low echo sways the soul
      And calls to meditation and to prayer!
Soft, sweet the melody that from those cells
   Goes forth to soothe the heart and onward roll
      To die upon the bosom of the air.",July,1901,Colored American ,Walter W. Wallace,Sonnet,male,Religion,,Boston,Predom. Black,https://en.wikipedia.org/wiki/Benjamin_Griffith_Brawley,,,,,,,,,,,,,,,,,
To --------- (A Sonnet),James D. Corrothers,Corrothers,"Beyond the hilltops to the north and west.
   Beyond the dells, and past the pleasant streams.
   Beyond the lakes that murmur in their dreams
The liquid fancies of their silver rest-―-
In such sweet thoughts as haunt a poet's breast--
   (For lakes are poets, Love) there dwells my theme's
   Sweet idol, you, Beloved , O Love, it seems
That of all women you are first and best!
   I love you deeply, and my soul would prove
Its passion. Dearest, on this page for you.
What shall I say ?—O Love, believe me true!
   Ask lake and hilltop if they know my song :
      Ask stream and dell, and airs that bear along
         My soul's blown odors , if they know my love. ",November,1901,Colored American,Walter W. Wallace,Sonnet,male,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/James_D._Corrothers,,,,,,,,,,,,,,,,,
The Snapping of the Bow,James D. Corrothers,Corrothers,"I dreamed a dream, and, in my dream, I heard
One wail at midnight by a convent's walls.
And, as he wailed, he clutched the stars, and shook
The pillars of the firmament of God,
And rolled the thunders of Olympus down
On men; and they besought their holy ones
To plead with him ---lest he might spoil the world.

   His face was bronze; his limbs were bronze but steel;
His mane was blacker than the Steeds of Night.
And his great eyes flashed warnings from beneath
A citadel where daring thoughts abode.
A comely youth---why needed he to weep?

     Alas! upon his brow he wore the brand
Of degradation, and upon his neck
A circlet galling as a crime!--And from
The cursed thing a chain of hate e'er bound
Him where he stood. His hands were manacled;
His limbs wore thongs that cut the flesh agape,
Until, for the pure pain, he writhed and wept,---
As weeps a conquered god-the prisoner of Despair!
He flung himself upon his knees, and burst into a prayer:

      ""O God, and hast
Thou made me for these miseries? I feel
Myself a man ---I have the spirit and
The hopes of one. O, why, then, must I strive
And fail?---No lake is clearer than my soul;
No ship is prouder; none more tempest tost.
'Tis true my brow is dark; but, in the night,
My spirit walks the stars, and lightly spurns.
Its kinship to this world!---Lord, I have tried;
The burden of the failure rests with thee.""
So fell he tranced.

      But, on the plain there rose
A phantom of the silent sphinx---the grim,
Spell-casting thought of some deep master dead.
And lo! beside its ancient, crumbling base,
Napoleon, fresh from mighty deeds of war,
Halted his band, and spoke in tones of awe.—
All this I saw, and dreamed that yet---aye, yet!—
The race might rise that built the awful thing
That holds its secret still in Egypt's sands.",May,1901,Colored American,Walter W. Wallace,,male,Slavery,,Boston,Predom. Black,https://en.wikipedia.org/wiki/James_D._Corrothers,,,,,,,,,,,,,,,,,
A Dixie Thanksgivin',James D. Corrothers,Corrothers,"Hollerdays hab come once mo '
Hyar it am Thanksgivin '!
Ole man gittin' stiff an ' so'e
Hahdly make a livin'.
But. sah, when Thanksgivin ' come .
Honey, I ain't nevah glum;
'Ca'se ma dinnah'll sho ' be some
Bress de good Thanksgivin '!

Bes'es ' white folks in dis town
Sent a turkey to me 
'N evathing to go aroun ' -
Dat's de way de do me.
Lucy Ann's a-comin ' down
Fuh to bake it nice and brown ;
Den we'll 'vite de preachah 'roun ' ---
No time to be gloomy!

Lucy Ann's my dorter, chile ,
Wo'kin ' fuh de white folks
Up de road about amile .-
One o' dese hyar light folks .
Roun' 'hyar she's de cullud belle ,
Preachah's sot to huh aspell ,
But when Lucy marries — well ,
Dey mus ' be de right folks!

Lucy's mammy's dead an ' gone
Sence she was a baby :
Tuk mah chile an' trabbled on --
Raised huh lak a lady !
She ken ciphah , wash an ' cook .
An' she reads me f'om de Book
Dat lights up de pati I's took
To'rds de lan' dat's shady .

But, sah, come aroun ' tonight ,
Ef you wouldn't mine it;
Take de road dah to de right.
Easy 'nough to fine it:
Come an' tas'e dat dinnah, sah,
'N' meet the preachah `n` Lucy : fuh ,
Ef he wants a 'ceipt fuh huh,
You'll be dar to sign it.",April,1901,Colored American ,Walter W. Wallace,,male,AAVE,,Boston,Predom. Black,https://en.wikipedia.org/wiki/James_D._Corrothers,,,,,,,,,,,,,,,,,
Me 'n' Dunbar,James D. Corrothers,Corrothers,"One day when me 'n' Dunbar wuz a-hocin' in de co'n ,
Bofe uv us tried an'  anxious foh to heah de dinnah -ho'n.—
Him in his fiel', an' me in mine , a-wo'kin ' on togeddah ,
A-sweatin ' lak de mischief in de hottes ' kine o' weddah,
A debblish notion tuck me 't Paul wuz gittin' on too fast';
But, thainks I : ""Wait untwel he git 'mongst all dem weeds an' grass.
'N' I'll make him nely kill his se'f, an ' den come out de las'.""

Tuck off ma coat, rolled up ma slebes , spit on ma han's an ' say :
“Ef God'll he'p me—'n' not he'p him—I beats ma man today !”
S'I: ""Paul , come on , le's have a race !--I see you achin ' foh it ""-
S'e: "" All right. Jeems , ma son ; strack out — I sho ' admire yo' spurrit.""
S'I : "" Son er father . I'm yo ' match —jes ' ketch me, ef you ken !""
S'e : ""You'd gib up now, ef you'd take advice fom yo ' bes ' fr'en""-
An ' den de way dem two hoes flew wuz scandl'us —gen-Tmen!

De sun shone on us br'ilin ' hot ; but , now an ' den de breeze
Blowed fresh , f'om 'cross de maddah lot, de fragrance ob de trees
In de ole orchard , jes' beyon '. De birds sung clear an ' sweet ;
De tree toad wuz a-callin ' out his 'pinion ob de heat ;
De fahm -house looked invitin', an ', erbout a mile away,
De town gleamed white -across de road , de falmers made dey hay :–--
But me 'n ' Paul was hustlin ' : 'ca'se dat wuz ouh ""busy day. ""

By'm -by, I got so tired dat I thought ma soul I'd die
An' all de time a-watchin ' Paul, out one side ob ma eye .--
I walks up to de fence, an, le'nt upon ma hoe a spell,
An' say : ""Paul, how you mekin ' out?"" S'e: ""Putty middlin' well .""
""Dat so ?"" sez I, you lookin ' weak!"" Se: he "" Am dat a fack?-
Who wuz it lef' his hocin ' fuss? You bettah go on back ,-
An' go to wo'k, 'r I'll be so fur dat you cain't fine ma track!""

'N' back I went, an ' slashed about, an' to'e up mo ' good co'n
An' missed mo' weeds den airy othah mo'tal evah bo'n .
An' all de time a-thinkin ' thoughts , untwel I come to see
Dat, dat ah' kine o' foolishness wa'n't he'pin ' him ner me.
S'I: ""Hole on, Paul, le's stop awhile, an ' talk an' git ouh breff—
'Ca'se bofe uv us has got to hoe his own patch foh his se'f.""
Sez he : ""Dat's right ; hey ain't no use to wo'k ouhse'fs to deff.""",July,1901,Colored American ,Walter W. Wallace,,male,"AAVE, Paul Laurence Dunbar",,Boston,Predom. Black,https://en.wikipedia.org/wiki/James_D._Corrothers,,,,,,,,,,,,,,,,,
